Scheme Name,Description,Eligibility
Assam Aponar Apon Ghar Home Loan Subsidy Scheme,"The Assam government introduced the Aponar Apon Ghar Home Loan Subsidy Scheme in 2020 to provide financial relief to first-time homebuyers. Under this scheme, eligible beneficiaries can receive a subsidy of up to ₹2.5 lakh on home loans of up to ₹40 lakh. This initiative supports the ""Housing for All by 2022"" vision and is an extension of the Apun Ghar Home Loan Scheme (2016-17).","The applicant must be a permanent resident of Assam.
Must not have availed benefits under the previous Apun Ghar Scheme.
Housing loans must be sanctioned by a Scheduled Commercial Bank, Regional Rural Bank, or Assam Cooperative Apex Bank.
The total family income must not exceed ₹20 lakh.
Loans must be sanctioned on or after April 1, 2019.
The home must be the first house owned by the applicant’s family.
The loan account must not be classified as an NPA (Non-Performing Asset)."
Indira Miri Universal Widow Pension Scheme,The Indira Miri Universal Widow Pension Scheme was launched by the Assam government in Budget 2019-20 to provide financial assistance to widows who have lost their husbands. The scheme aims to offer immediate family assistance and ensure financial security for widowed women in the state.,"Residency: Must be a permanent resident of Assam.
Age Requirement: Must be up to 45 years of age.
Financial Assistance:
A one-time lump sum grant of ₹25,000 is provided to eligible widows.
Additionally, a monthly pension of ₹250 is given until the widow reaches 60 years of age."
Assam Aponar Apun Ghar Home Loan Subsidy Scheme,"The Assam government launched the Aponar Apun Ghar Home Loan Subsidy Scheme to provide financial assistance to first-time homebuyers in the state. Under this scheme, eligible applicants can receive a subsidy of up to ₹2.5 lakh on home loans up to ₹40 lakh. The scheme aims to promote home ownership and support the state’s vision of ""Housing for All"" by 2022.","Residency: Must be a permanent resident of Assam.
Loan Source: Housing loans must be availed from a Scheduled Commercial Bank, Regional Rural Bank, or Assam Cooperative Apex Bank within Assam.
Income Limit: The total family income should not exceed ₹20 lakh per annum.
Loan Amount: The housing loan must be at least ₹5 lakh and should have been sanctioned on or after April 1, 2019.
Previous Benefits: Applicants who have already availed benefits under the Apun Ghar scheme are not eligible.
Loan Status: The loan account must not be classified as a Non-Performing Asset (NPA).
Home Ownership: The house being purchased or constructed must be the first home for the applicant’s family."
Assam Abhinandan Education Loan Subsidy Scheme,"The Assam government launched the Abhinandan Education Loan Subsidy Scheme to support students pursuing higher education. Under this scheme, students who have taken an education loan from recognized banks will receive a one-time subsidy of ₹50,000. The initiative aims to reduce the financial burden on students and encourage them to complete their higher education.","Residency: Must be a permanent resident of Assam.
Loan Source: Education loans must be availed from a Scheduled Commercial Bank or Regional Rural Bank recognized by the Reserve Bank of India.
Minimum Loan Amount: The education loan must be at least ₹1 lakh.
Loan Sanction Date: Loans sanctioned before March 31, 2019, are eligible. For loans sanctioned on or after April 1, 2019, at least 25% of the sanctioned amount must have been disbursed."
Assam Arundhati Gold Scheme,"The Assam government launched the Arundhati Gold Scheme to provide financial assistance to newlywed brides from economically weaker sections. Under this scheme, the state provides 1 tola (10 grams) of gold, valued at approximately ₹40,000, to brides at the time of their marriage. The scheme aims to support families who traditionally gift gold at their daughters’ weddings, ensuring financial security for the bride and encouraging marriage registration.","Residency: Must be a permanent resident of Assam.
Marriage Registration: The marriage must be registered under the Special Marriage Act, 1954.
Marriage Date: The marriage must have taken place on or after December 1, 2019, and be registered on or after January 1, 2020.
Income Limit: The total annual income of the bride’s parents must not exceed ₹5 lakh.
First Marriage: The benefit is only available for the first marriage of the bride.
Educational Qualification:
Both bride and groom must have passed at least HSLC (10th standard) or equivalent for non-SC/ST and non-Tea Tribe communities.
In the case of SC/ST communities, at least one of them must have passed the 10th standard.
No minimum educational qualification is required for brides from Tea Tribe communities for the next five years due to a lack of high school facilities in many tea gardens.
Legal Age: The bride must be at least 18 years old, and the groom must be at least 21 years old at the time of marriage registration."
Assam Arundhati Gold Scheme,"The Assam government launched the Arundhati Gold Scheme to provide financial assistance for purchasing gold to brides from economically weaker sections at the time of their wedding. Under this scheme, eligible beneficiaries receive 1 tola (approximately 10 grams) of gold as financial aid. The initiative aims to support families that traditionally provide gold during their daughter’s marriage and encourage formal marriage registration.","Residency: Must be a permanent resident of Assam.
Age Criteria: The bride must be at least 18 years old, and the groom must be at least 21 years old at the time of marriage.
Marriage Registration: The marriage must be registered under the Special Marriage (Assam) Rules, 1954.
Income Limit: The total annual income of the bride’s family must not exceed ₹5 lakh.
Educational Qualification:
Both bride and groom must have passed at least HSLC (Class 10) or equivalent if they belong to non-SC/ST and non-Tea Tribe communities.
For SC/ST communities, either the bride or groom must have passed Class 10.
No minimum educational qualification is required for Tea Tribe communities for the next five years due to the lack of high school facilities.
Marriage Date: The marriage must have taken place on or after December 1, 2019, and be registered on or after January 1, 2020.
First Marriage: The scheme benefits are only applicable to the bride’s first marriage."
Assam Fee Waiver Scheme 2019,"The Assam government launched the Fee Waiver Scheme to provide free admission to students from economically weaker sections enrolling in undergraduate (UG) and postgraduate (PG) courses. Under this scheme, students whose parental income is less than ₹2 lakh per annum are exempted from paying admission fees, tuition fees, and other miscellaneous charges in government and provincialized colleges, as well as five universities in the state.","Residency: Must be a permanent resident of Assam.
Education Level: Applicable for students seeking admission in UG or PG courses in the first year.
Parental Income: Family income must be less than ₹2 lakh per annum.
Employment Proof:
If parents are employed in state or central government jobs, a salary slip must be provided.
If parents work in a private organization, an employer-issued salary certificate is required.
If parents are not employed, a certificate from the Circle Officer or Mouzader is needed.
College principals and admission committees can also grant waivers based on their assessment of the student’s financial condition.
Persons with Disabilities (PWDs): Eligible for the fee waiver regardless of parental income."
Assam Voter List 2020 & Voter ID Card Download,"The Chief Electoral Officer (CEO) of Assam has published the updated Assam Voter List 2020 (PDF Electoral Rolls) on the official website. Citizens can check their name in the district-wise voter list, download the voter list with photos, and obtain their Voter ID Card (matdaata parchi) online. The initiative ensures transparency and accessibility for eligible voters in Assam to participate in the elections.","Residency: Must be a permanent resident of Assam.
Age Requirement: Must be 18 years or above as of the qualifying date.
Voter Registration: Must be a registered voter in Assam.
Valid Identification: Aadhar card, ration card, or any other government-approved identity proof is required for verification at polling booths."
Mukhyamantri Krishi Sa-Sajuli Yojana (CM Farm Tool Scheme),"The Mukhyamantri Krishi Sa-Sajuli Yojana was launched by the Assam government on 11 February 2019 to support small and marginal farmers by providing financial assistance for farm mechanization. The scheme aims to enhance farm productivity through the use of modern agricultural tools, ensuring higher income for farmers. Under this scheme, 5 lakh farmer families will receive a one-time grant of ₹5,000 through Direct Benefit Transfer (DBT) to their bank accounts.","Residency: Must be a resident farmer of Assam.
Age Requirement: Minimum age of 21 years.
Farmer Category:
Small and marginal farmers are eligible.
Tenant farmers or sharecroppers with a minimum cultivation area of 1 Acre (or 3 Bigha) may apply.
Bank Account: Must have an active savings bank account for DBT transfer.
Kisan Credit Card Holders: Eligible to apply.
Farming Experience: Must be involved in agriculture for at least 3 consecutive years.
One Farmer per Family: Only one application per household is allowed."
Aapunar Apun Ghar Scheme,"The Aapunar Apun Ghar Scheme was launched by the Assam government in the FY 2019-2020 as an extension of the existing Apun Ghar scheme. The scheme aims to provide home loan subsidies to citizens, making housing more affordable and supporting the vision of ""Housing for All"" by 2022. Eligible applicants can receive a subsidy of ₹2.5 lakh on home loans up to ₹40 lakh.","Residency: Must be a permanent resident of Assam.
Loan Amount: The subsidy applies to home loans up to ₹40 lakh.
First-Time Homebuyers: The subsidy is available only to those purchasing their first house.
Previous Apun Ghar Scheme: Unlike the Apun Ghar Scheme (2016-17), which was exclusive to government employees, this scheme is open to all citizens of Assam."
Jal Jivan Hariyali Campaign,"The Jal Jivan Hariyali Campaign was launched by the Bihar government on 2nd October 2019 to combat climate change, ensure water conservation, and promote environmental sustainability. The initiative focuses on rainwater harvesting, rejuvenation of water bodies, groundwater recharge, and large-scale tree plantation. It aims to tackle issues like floods, droughts, and environmental pollution.","This campaign is a state-wide initiative and applies to:

Government departments and local authorities responsible for water conservation and plantation efforts.
Public and private landowners participating in tree plantation drives.
Urban and rural areas affected by water scarcity or environmental degradation."
Bihar Online Land Mutation & Land Tax Payment Facility,"The Bihar government has launched an online facility for land mutation (Dakhil Kharij), payment of land tax, and linking of district registration offices with circle offices. This initiative allows citizens to complete land mutation and pay land tax online through the official property registration website (lrc.bih.nic.in). Additionally, people can check Apna Khata (New Survey) land records online.

This initiative aims to reduce land disputes, which account for 60% of criminal cases in Bihar, by improving transparency and efficiency in land-related processes.","Residency: Available to all landowners and property holders in Bihar.
Land Ownership: Must have legal ownership of land in Bihar.
Mutation Requirement: Applicable to new landowners, inheritance cases, or land transfer cases."
Mukhyamantri Kanya Utthan Yojana,"The Mukhyamantri Kanya Utthan Yojana is an initiative by the Bihar government to promote female education, prevent child marriage, and provide financial assistance to girls at different stages of their education. This universal scheme, launched in April 2019, benefits up to two girls per family without any discrimination based on caste, religion, or income.","The scheme applies only to two girl children per family.
Girls must be residents of Bihar.
Aadhaar-linked bank account is mandatory.
For Intermediate (10th/12th) benefits, the girl must be unmarried at the time of result declaration.
Graduation benefits apply to all girls, irrespective of marital status."
Bihar Ration Card Scheme,The Bihar government provides ration cards to eligible citizens under the National Food Security Act (NFSA) to access subsidized food grains and other essential commodities. The ration card also serves as an important document for availing various government welfare schemes.,"Residency: Must be a permanent resident of Bihar.
Income Level: Categorized into APL (Above Poverty Line), BPL (Below Poverty Line), and AAY (Antyodaya Anna Yojana) based on economic status.
Documentation: Applicants must provide proof of residence, identification documents, and income details."
Bihar Berojgari Bhatta Yojana,"The Bihar government launched the Berojgari Bhatta Yojana to provide financial assistance to educated but unemployed youth in the state. Under this scheme, eligible candidates receive a monthly allowance of ₹1,000 to support their livelihood while they search for employment. The initiative aims to help jobless youth improve their skills and sustain themselves financially.","Residency: Must be a permanent resident of Bihar.
Age Limit: Must be between 21 to 35 years old.
Educational Qualification: Must have passed 12th grade and hold a graduation or post-graduation degree.
Employment Status: Must be unemployed and not receiving any other government allowance.
Income Limit: The total annual family income must not exceed ₹3 lakh."
Bihar Voter List 2020 & Voter ID Download,"The Bihar government, through the Chief Electoral Officer (CEO), has made the voter list (PDF Electoral Roll) available online at ceobihar.nic.in. Residents can check their names in the electoral roll, download their voter ID, and verify details before elections. This service ensures transparency and accessibility for voters.","Must be a resident of Bihar.
Must be 18 years or older.
Should have registered as a voter in Bihar."
Mukhyamantri Vridhjan Pension Yojana (MVPY) – Bihar Old Age Pension Scheme,"The Bihar government has launched the Mukhyamantri Vridhjan Pension Yojana (MVPY) for all elderly citizens aged 60 years and above. Under this scheme, the state government will provide eligible senior citizens with a pension of ₹400 per month to help them become self-reliant. This scheme has been implemented from April 1, 2019, and there is no discrimination based on caste, religion, or community. However, retired pensioners from government services are not eligible for this scheme.","The applicant must be a permanent resident of Bihar.
The applicant must be 60 years or older.
This scheme is applicable to senior citizens of all castes, religions, and communities.
Retired pensioners from government services are not eligible for this scheme.
Priority will be given to senior citizens below the poverty line (BPL)."
Pradhan Mantri Kisan Samman Nidhi Yojana (PM-KISAN) – Bihar,"The PM-KISAN scheme aims to provide financial assistance of ₹6,000 per year to eligible farmers across Bihar. The amount is distributed in three equal installments to support small and marginal farmers in meeting their agricultural and household expenses. Farmers can apply online through the Bihar Agriculture Portal (dbtagriculture.bihar.gov.in).","Residency: Must be a permanent resident of Bihar.
Farmer Status: Must be a small or marginal farmer.
Aadhaar Requirement: Aadhaar card is mandatory for registration.
Government Employees Exclusion: Farmers who are retired government employees, income tax payers, or institutional landholders are not eligible."
Bihar Education Loan Waiver for Students under Student Credit Card (SCC) Scheme,"The Bihar government has introduced an education loan waiver scheme for students who have taken loans under the Student Credit Card (SCC) Scheme. If a student fails to secure a job after completing their professional course, the state government will waive off the loan. However, if the student gets employment, they will have to repay the loan in 82 easy installments.","Residency: Must be a permanent resident of Bihar.
Education Level:
Class 12th pass students can avail loans for higher education (technical or general).
Class 10th pass students can apply for loans for polytechnic courses.
Loan Amount:
Up to ₹4 lakh in education loans is provided interest-free.
Special interest rate of 1% for differently-abled, transgender, and female students.
Employment Criteria:
If unemployed after course completion: The government will waive off the loan.
If employed: The student must repay the loan in 82 monthly installments."
Bihar Mukhyamantri Kanya Utthan Yojana – Graduation Incentive for Girls,"The Bihar government has launched a scheme under the Mukhyamantri Kanya Utthan Yojana to provide ₹25,000 as a one-time financial incentive to every girl who completes her graduation. The scheme aims to promote higher education among women and support them financially, regardless of their marital status. The state government has allocated ₹300 crore for this initiative, benefiting approximately 1.2 lakh girls each year.","Residency: Must be a permanent resident of Bihar.
Education Level: Must have completed graduation from a recognized institution.
Graduation Year: Applicable to students who graduate on or after FY 2018.
Marital Status: Both married and unmarried girls are eligible.
Caste/Community/Religion: No restrictions based on caste, community, or religion."
CG Mukhyamantri Vishwakarma Nirman Shramik Mrityu Evam Divyang Sahayata Yojana 2020,The Chhattisgarh government launched this scheme to provide financial assistance to registered construction workers in case of disability or death during work. The scheme is implemented by the Chhattisgarh Building and Other Construction Workers Welfare Board under the Labour Department.,"Residency: Must be a resident of Chhattisgarh.
Employment Status: Must be a registered construction worker.
Age: Between 18 to 60 years.
Exclusions: Death due to substance abuse or suicide is not covered."
Chhattisgarh Shakti Swarupa Yojana,"The Chhattisgarh government has launched the Shakti Swarupa Yojana to provide financial assistance to widowed, divorced, and destitute women. The scheme aims to promote women's empowerment by helping them become self-reliant through financial aid for starting their own businesses. Under this scheme, eligible women will receive government support to cover part of their business startup costs.","Residency: Must be a permanent resident of Chhattisgarh.
Target Beneficiaries: Women who are widowed, legally divorced, or destitute.
Financial Status: Must be listed under the Below Poverty Line (BPL) category, OR the annual family income should be ₹60,000 or less.
Age Criteria: Must be between 18 to 50 years old.
BPL Card Requirement: The head of the family (parent or husband) should be listed on the BPL card."
CG Mukhyamantri Vishesh Swasthya Sahayata Yojana (Dr. Khubchand Baghel Health Assistance Scheme),The Chhattisgarh government launched this integrated health scheme to provide cashless medical treatment to ration card holders in both government and private hospitals. This scheme merges multiple existing healthcare schemes and follows a trust-based model for implementation.,"Residency: Must be a resident of Chhattisgarh.
Ration Card Holders:
Priority & Antyodaya (BPL) ration card holders.
Other ration card holders are also eligible for limited benefits."
CG Chief Minister Ward Office Scheme (Mukhyamantri Ward Karyalaya Yojana),"The Chhattisgarh government launched this scheme to establish Mukhyamantri Ward Karyalayas in urban areas as one-stop centers for addressing local governance issues such as cleanliness, water supply, streetlights, environmental concerns, and community services.","Residency: Must be a resident of Chhattisgarh.
Location: Must belong to an urban ward where the scheme is implemented.
Issue Type: Includes cleanliness, water supply, streetlight maintenance, license/tax-related matters, and community building reservations."
CG Chief Minister Urban Slum Health Scheme (Mukhyamantri Shahari Slum Swasthya Yojana),"This scheme aims to provide adequate healthcare services in urban slum areas located far from hospitals. It ensures access to mobile medical units, OPD services, essential medicines, and emergency transportation.","Residency: Must be a resident of Chhattisgarh.
Location: Must belong to an identified slum area under the scheme.
Medical Services: Includes basic health check-ups, portable diagnostic tests, OPD facilities, medicine distribution, and referrals for serious patients."
CG Mukhyamantri Suposhan Abhiyan,"The Chhattisgarh government launched Mukhyamantri Suposhan Abhiyan to combat malnutrition and anaemia among children and women. Under this scheme, nutritious meals are provided daily to children (0-5 years), adolescent girls, and women (15-49 years). The scheme was officially launched on 2 October 2019, on Mahatma Gandhi's 150th birth anniversary.","Residency: Must be a resident of Chhattisgarh.
Beneficiary Group:
Children aged 0-5 years
Girls and women aged 15-49 years
Malnourished individuals identified by the government"
CG Mukhyamantri Haat Bazaar Yojana,"The Chhattisgarh government launched Mukhyamantri Haat Bazaar Yojana on 2 October 2019 to provide free healthcare services in remote and tribal areas. Under this scheme, mobile medical units equipped with doctors, paramedical staff, and essential medicines are deployed to provide medical treatment to people in underserved regions.","Residency: Must be a resident of Chhattisgarh.
Beneficiary Group:
People living in remote tribal areas
Individuals without access to basic healthcare facilities"
Rajiv Gandhi Kisan Nyay Yojana,"The Rajiv Gandhi Kisan Nyay Yojana (RGKNY) was launched by the Chhattisgarh government in 2020 to provide financial assistance to farmers. The scheme aims to increase agricultural investment, boost productivity, and ensure farmers’ financial stability. Under this initiative, farmers receive ₹10,000 per acre for crops such as paddy, maize, and sugarcane, with payments made in installments via Direct Benefit Transfer (DBT).","Residency: Must be a resident of Chhattisgarh.
Beneficiary Group:
All categories of farmers (small, marginal, and large farmers).
Farmers cultivating the crops listed under the scheme.
Crops Covered:
Kharif season: Paddy, maize, soybean, groundnut, sesame, pigeon pea, black gram, green gram, niger, kodu, kutki, horse gram, ramtil.
Rabi season: Sugarcane."
Chhattisgarh Rajiv Gandhi Kisan Nyay Yojana,"The Chhattisgarh government launched the Rajiv Gandhi Kisan Nyay Yojana in the 2020-21 state budget to support farmers by providing financial assistance of ₹10,000 per acre for paddy and maize crops. The scheme aims to increase agricultural investment, reduce input costs, and enhance farmers' income. The scheme aligns with the central government's goal of doubling farmers' income by 2022.","Residency: Must be a permanent resident of Chhattisgarh.
Farmer Category: Includes small, marginal, and large farmers.
Crops Covered: Applies to paddy, maize, soybean, groundnut, sesame, pigeon pea, green gram, black gram, horse gram, niger seed, kodo millet, little millet (kodo-kutki), and sugarcane.
Registration: Farmers must register within the stipulated timeline at cooperative societies, sugar mills, or through agricultural offices.
Verification: Land and crop area details must be verified by revenue and agriculture department officials."
Chhattisgarh Farm Loan Waiver Scheme – Phase 2,"The Chhattisgarh government has launched Phase 2 of the Farm Loan Waiver Scheme to provide relief to farmers by waiving off agricultural loans taken from commercial banks. The state government has released ₹2,100 crore to fulfill its promise of debt relief. The scheme is a continuation of Phase 1, where the government waived off loans taken from cooperative and regional rural banks. The total loan waiver target is ₹6,100 crore, benefiting around 16.65 lakh farmers across the state.","Residency: Must be a permanent resident of Chhattisgarh.
Loan Type: Must have taken a short-term agricultural loan from commercial banks.
Loan Tenure: Only loans taken before November 30, 2018, are eligible.
Institutions Covered: Includes cooperative banks, Chhattisgarh Gramin Banks, regional rural banks, and commercial banks."
Delhi Mukhyamantri Street Light Yojana,"The Delhi government launched the Mukhyamantri Street Light Yojana on 30 December 2019 to install around 2.1 lakh street lights across the national capital. This scheme aims to eliminate dark spots and enhance women’s safety. The project will be implemented by the three DISCOMS, each responsible for installing 70,000 street lights. The initiative follows the same approach as the CCTV installation program in Delhi and allows people to request street lights outside their homes.","Residency: Must be a resident of Delhi.
Location: Areas with dark spots or inadequate street lighting.
Permission: Requires approval from the local MLA and building owner for installation."
Mukhyamantri Kirayedaar Bijli Meter Yojana,"The Delhi government launched the Mukhyamantri Kirayedaar Bijli Meter Yojana to provide prepaid electricity meters for tenants living in rented accommodations. The scheme aims to ensure that tenants directly receive power subsidies, reducing overcharging by landlords and making electricity more affordable.","Residency: Must be a tenant residing in Delhi.
Accommodation Type: Must be living in a rented house or flat (for domestic use only).
Application Requirement: Must provide a rent agreement or rent slip as proof."
Delhi Overseas Scholarship Scheme 2020 for SC Students,The Delhi government launched the Overseas Scholarship Scheme 2020 to provide financial assistance to Scheduled Caste (SC) students for pursuing Master’s and Ph.D. degrees abroad. The SC/ST Welfare Department is handling the implementation. A total of 100 selected candidates will receive scholarships to study in accredited foreign universities.,"Residency: Must be a bonafide resident of Delhi for at least 5 years (documentary proof required).
Education:
For Ph.D.: 55% marks or equivalent grade in a relevant Master’s degree.
For Master’s: 55% marks or equivalent grade in a relevant Bachelor’s degree.
Age Limit: Below 30 years as of the cut-off date.
Income Limit: Total family income should not exceed ₹8,00,000 per annum.
Employment Status:
Employed candidates must apply through their employer with a No Objection Certificate (NOC).
Only one child per family is eligible."
Mukhyamantri Street Light Yojana (Delhi),"The Delhi government launched the Mukhyamantri Street Light Yojana on 30 December 2019 to enhance public safety by installing 2.1 lakh LED street lights in dark spots across the city. The scheme aims to strengthen women’s safety and improve urban infrastructure by ensuring well-lit streets. The installation will be managed by three DISCOMs, each responsible for 70,000 street lights.","Residency: Must be a resident of Delhi.
Location: Street lights will be installed in public places and outside residential buildings with the owner’s permission.
Implementation Authority: DISCOMs will install and maintain the lights, bypassing MCD approvals.
Power Supply: Street lights will be powered through household electricity connections, with cost adjustments in bills."
Delhi Overseas Scholarship Scheme for SC Students 2020,The Delhi Overseas Scholarship Scheme 2020 provides financial assistance to 100 SC students from Delhi to pursue Master’s and Ph.D. programs abroad. The scholarship covers tuition fees and living expenses to support students in achieving higher education in reputed foreign universities.,"Residency: Must be a bonafide resident of Delhi for at least 5 years.
Education Level:
Master’s: Minimum 55% marks in Bachelor’s degree.
Ph.D.: Minimum 55% marks in Master’s degree.
Age Limit: Must be below 30 years as of the cut-off date.
Financial Criteria: Family income should not exceed ₹8,00,000 per annum.
Other Conditions:
Only one child per family is eligible.
Must have secured admission to an accredited foreign university.
Employed candidates must provide a No Objection Certificate (NOC) from their employer"
Delhi Voter List 2019-20 & Voter ID Download,"The Delhi Election Commission released the Final Voter List 2019-20 (PDF Electoral Roll) for the Delhi Assembly Elections 2020, scheduled for 8 February 2020. Citizens can check their voter details, EPIC number, and download Voter ID Cards from the CEO Delhi website.","Residency: Must be a citizen of India and a resident of Delhi.
Age Limit: Must be 18 years or above as of the qualifying date.
Voter Registration: Must have enrolled in the Electoral Roll.
Verification: Can check details using Name, EPIC Number, or Voter Details via the official website ceodelhi.gov.in."
Delhi Free Wi-Fi Scheme 2019,"The Delhi Free Wi-Fi Scheme was launched to provide free internet access at public places across Delhi. Under this initiative, 11,000 Wi-Fi hotspots will be installed in markets, residential colonies, and bus stops. Each user will receive 15 GB of free data per month (1.5 GB/day) at speeds ranging from 100 to 200 Mbps.","Residency: Open to all residents and visitors in Delhi.
Access: Available within a 50-meter radius of Wi-Fi hotspots.
Registration: Users must download the Delhi Free Wi-Fi App, upload KYC details, and verify via OTP to access the internet."
Delhi SC / ST / OBC / Minority Scholarship Schemes 2019-20,"The Delhi SC / ST / OBC / Minority Scholarship Schemes aim to provide financial assistance to students from economically weaker sections of society to help them continue their education. The scheme covers tuition fee reimbursement, scholarships for merit-based students, and financial aid for purchasing stationery.","Residency: Must be a permanent resident of Delhi.
Category: Must belong to SC, ST, OBC, or Minority categories.
Education Level:
Students from Class 1 to 12 (for tuition fee reimbursement and stationery assistance).
Professional/Technical college students (for merit scholarships).
SC/OBC students (for Pre-Matric and Post-Matric Scholarships).
Income Criteria: The applicant’s family income limit varies depending on the scholarship type."
